iter	Logloss
0	0.4057247247
1	0.2281599935
2	0.1422667747
3	0.08880872091
4	0.05800252703
5	0.03573540078
6	0.02305855883
7	0.0171734945
8	0.01323242757
9	0.01218451394
10	0.01144272897
11	0.009997460379
12	0.009142787324
13	0.008778237568
14	0.008659568429
15	0.008288196789
16	0.008003071745
17	0.007966978749
18	0.007767859432
19	0.007650459806
20	0.00755355676
21	0.00747000489
22	0.007415348821
23	0.007352056305
24	0.007298632529
25	0.00725526207
26	0.007226801581
27	0.00720970475
28	0.007174419098
29	0.007142115666
30	0.007110726469
31	0.007085091372
32	0.00705722832
33	0.007052869598
34	0.00702103734
35	0.007001884745
36	0.006989275085
37	0.00696499851
38	0.006940492027
39	0.006921839648
40	0.006912533343
41	0.006907035046
42	0.006899663243
43	0.006877470149
44	0.006838001013
45	0.006824773815
46	0.006810376313
47	0.006805523634
48	0.00679121236
49	0.006771383815
50	0.006760715279
51	0.006739723219
52	0.006726337075
53	0.006713782615
54	0.006697215802
55	0.006687615547
56	0.006660842432
57	0.006627120972
58	0.006617569062
59	0.006604671578
60	0.006592314177
61	0.006579819918
62	0.006565489637
63	0.006557266613
64	0.006553527514
65	0.006546328465
66	0.006529105273
67	0.006520952053
68	0.006515400178
69	0.006507515444
70	0.006499129501
71	0.006492642429
72	0.006486571431
73	0.006462080015
74	0.006446721885
75	0.006432821883
76	0.006421143644
77	0.006414718562
78	0.006404424873
79	0.00639611933
80	0.006389752494
81	0.006380108661
82	0.006375322375
83	0.00636006448
84	0.006354632245
85	0.006349806355
86	0.006345931292
87	0.006341318952
88	0.006335333718
89	0.006330874662
90	0.00632323828
91	0.006304446525
92	0.006301897665
93	0.006297885776
94	0.006279290087
95	0.006273427804
96	0.00626923475
97	0.006262520552
98	0.006258941425
99	0.006243342559
100	0.006241292059
101	0.006222615474
102	0.006214226815
103	0.006203257442
104	0.006197683116
105	0.00619387375
106	0.006190139684
107	0.006188110941
108	0.006186661389
109	0.006183613605
110	0.006178088023
111	0.006172676881
112	0.006170061794
113	0.006165293588
114	0.006159274909
115	0.00615466247
116	0.006151777771
117	0.006143561668
118	0.006140277584
119	0.006137799919
120	0.006126627425
121	0.006124487619
122	0.006121607688
123	0.006116445793
124	0.006113949087
125	0.00610764881
126	0.00609893024
127	0.00608855625
128	0.006080290278
129	0.006077072521
130	0.00607208805
131	0.006067933804
132	0.006065995163
133	0.006063277721
134	0.006061619586
135	0.00605943256
136	0.006055382027
137	0.006053761608
138	0.006049596535
139	0.006043412255
140	0.006041932305
141	0.006039957735
142	0.006038366258
143	0.006033673651
144	0.006029990514
145	0.006024595896
146	0.006023427049
147	0.006021997597
148	0.00601979004
149	0.00601575911
150	0.006012142036
151	0.006008366677
152	0.006004480256
153	0.00600265036
154	0.005996865564
155	0.005993486643
156	0.005992063085
157	0.005988620387
158	0.005984391901
159	0.005983153151
160	0.005979830556
161	0.005978760984
162	0.005975339346
163	0.005970744921
164	0.005969589816
165	0.005965071784
166	0.005961583919
167	0.005959139334
168	0.005956223408
169	0.005955198142
170	0.005953581201
171	0.00594778647
172	0.00594471852
173	0.005943163402
174	0.005936116179
175	0.005935078661
176	0.005932342841
177	0.005931034221
178	0.005929665764
179	0.005928475824
180	0.005925673279
181	0.005923148327
182	0.005917504032
183	0.005913421313
184	0.005906468299
185	0.005905713704
186	0.005903152161
187	0.005900287562
188	0.005897745887
189	0.005895551377
190	0.005894491739
191	0.005892421736
192	0.005891607602
193	0.005887969269
194	0.005886073576
195	0.005878328085
196	0.005871651702
197	0.005869746837
198	0.005867263079
199	0.005865658654
